nr;id;debitorennummer;anrede;vorname;name;firma;strasse;plz;ort;bereich;telefon;mobil;email;typ;beschriftung;
433;6458;;;;;Ev. Jugendhilfe Friedenshort Tagesgruppe Pinguine;Schützenstr. 8;57518;Betzdorf;;02741-27590;;regionwest.betzdorf@jhfh.friedenshort.de;Juhi_firmen;;
434;6459;;;;;Ev. Jugendhilfe Friedenshort Tagesgruppe Wissen;Gerichtstr. 8;57518;Wissen;;02742-4-723503;;;Juhi_firmen;;
435;6461;;;;;Moritzhaus;Settiner Str. 19;57518;Betzdorf;;02294-6562;;rmo@moritzhaus-westerwald.de;Juhi_firmen;;
436;6462;;;;;Ev. Jugendhilfe Friedenshort;Klosterhof 8;57518;Betzdorf;;02742-93669-16;;regionwest.betzdorf@jhfh.friedenshort.de;Juhi_firmen;;
437;6463;;;;;Caritasverband Region Rhein-Wied-Sieg e.V.;Wagnerstraße 1;57518;Betzdorf;;02741938383;;asd@caritas-betzdorf.de;Juhi_firmen;;
438;6455;;Frau;Rudolph;Düber;;Wagnerstraße 1;57518;Betzdorf;;02741938383;;asd@caritas-betzdorf.de;Juhi_personen;;
439;6464;;;;;Lebenshilfe Steckenstein e. V.;Friedrichstraße 2;57537;Mittelhof;;02742-93250;;Geschaeftsstelle@lebenshilfe-ak.de;Juhi_firmen;;
440;6467;;;;;Die Insel Mittelhof;Betzdorfer Landstraße 3;57537;Mittelhof;;02742-71101;;info@insel-mittelhof.de;Juhi_firmen;;
441;6468;;;;;Sozialpädagogisches Familienprojekt -Eheleute Böse-;Häuser Weg 23;57537;Wissen;;02742-723333;;BBoese@online.de;Juhi_firmen;;
442;6471;;;;;Jugendwohngemeinschaft Steinchen;Auf dem Steinchen 26a;57610;Altenkirchen;;026817694;;jwg.steinchen@t-online.de;Juhi_firmen;;
443;6472;;;;;Kreisverwaltung Altenkirchen;Parkstr. 1;57610;Altenkirchen;;;;post@kreis-ak.de;Juhi_firmen;;
444;8895;;Frau;Hermann Josef;Greb;;Parkstr. 1;57610;Altenkirchen;;02681812520;;;Kita_personen;;
445;6474;;Herr;;;Diakonisches Werk Altenkirchen;Stadthallenweg 16;57610;Altenkirchen;;02681800820;;info@diakonie-altenkirchen.de;Juhi_firmen;;
446;6476;;;;;Deutscher Kinderschutzbund Kreisverband Altenkirchen e.V.;Wilhelmstraße 33;57610;Altenkirchen;;0268170209;;info@kinderschutzbund-altenkirchen.de;Juhi_firmen;;
447;6479;;;;;Familienbüro Altenkirchen;Parkstraße 1;57610;Altenkirchen;;02681984715;;post@kreis-ak.de;Juhi_firmen;;
448;6480;;;;;Refugium Fachklinik Altenkirchen;Heimstr. 8;57610;Altenkirchen;;026819430;;fachklinik-ak@t-online.de;Juhi_firmen;;
449;6485;;Frau;;;Caritasverband Hagen e. V.;Bergstraße 81;58095;Hagen;;0233191840;;info@caritas-hagen.de;Juhi_firmen;;
450;6486;;;;;Kinderheim Egge;Egge 65;58453;Witten;;;;info@waisenheimat.de;Juhi_firmen;;
451;6489;;;;;Haus Renate;Türkenstraße 2a;59423;Unna;;;;kontakt@mak-unna.de;Juhi_firmen;;
452;6490;;;;;Tacheles Jugendhilfe;Holzwickeder Str. 3;59427;Unna;;;;team@tacheles-jugendhilfe.de;Juhi_firmen;;
453;6491;;;;;Stadt Soest;Am Vreithof 8;59494;Soest;;02921-1032329;;post@soest.de;Juhi_firmen;;
454;6493;;;;;Pflege- und Betreuungszentrum Haus Seeblick;Seeblick 6;59519;Möhnesee;;;;info@haus-seeblick.net;Juhi_firmen;;
455;6496;;;;;Tagesgruppe Haus Sonnenberg;Ringstraße 6;59581;Warstein-Belecke;;029024316;;sonnenberg@sozialwerk-sauerland.de;Juhi_firmen;;
456;6497;;;;;Diakonisches Werk Arnsberg;Hauptstraße 7;59581;Warstein;;;;suchtberatung-warstein@diakonie-ruhr-hellweg.de;Juhi_firmen;;
457;6499;;;;;Jugendhilfe Olsberg, Erwitte;Stiftstraße 9;59597;Erwitte;;02945200235;;jugendhilfe@jugendhilfe-olsberg.de;Juhi_firmen;;
458;6500;;;;;Arbeiterwohlfahrt Ortsverein Anröchte;Zum Hagen 4;59609;Anröchte;;;;;Juhi_firmen;;
459;6502;;Frau;;;Verein für Kinder- und Jugendhilfe;Marktstr. 59;59759;Arnsberg;;;;info@jugendhilfe-arnsberg.de;Juhi_firmen;;
460;6503;;;;;Familienzentrum Marienfrieden;Breloh 5;59759;Arnsberg;;02932-4600;;;Juhi_firmen;;
461;10481;;;;;SKF Hochsauerland;Breloh 5;59759;Arnsberg;;;;b.padberg@skf-hochsauerland.de;Juhi_firmen;;
462;6504;;;;;Haus zum Guten Hirten;Ginsterweg 27;59821;Arnsberg;;;;hzgh@diakonie-ruhr-hellweg.de;Juhi_firmen;;
463;6506;;;;;Tagesgruppe Haus Sonnentag;Oesterweg 8;59872;Meschede;;;;sonnentag@sozialwerk-sauerland.de;Juhi_firmen;;
464;6508;;;;;Mädchenwohnheim Julie-Postel-Haus;Zum Bergkloster 1;59909;Bestwig;;;;;Juhi_firmen;;
465;6510;104008;;;;Jugendhilfe Olsberg;Rutsche 6;59939;Olsberg;;0296297140;;jugendhilfe@jugendhilfe-olsberg.de;Juhi_firmen;Jugendhilfe Olsberg;
466;6510;100557;;;;Jugendhilfe Olsberg;Rutsche 6;59939;Olsberg;;0296297140;;jugendhilfe@jugendhilfe-olsberg.de;Juhi_firmen;Baumann, Sarah;
467;6511;104007;;;;Internat am Rothaarsteig;Drübelweg 15;59929;Brilon;;029616669;;t.schroeder@ummeln.de;Juhi_firmen;Internat Jungborn;
468;6512;109501;;;;Tagesgruppe Brilon;Sandkuhlenweg 9;59929;Brilon;;029614421;;jugendhilfe@jugendhilfe-olsberg.de;Juhi_firmen;Tagesgruppe Brilon;
469;6513;;;;;Kinderheim Haus Sonnenschein;Am Hollemann 31;59929;Brilon;;;;;Juhi_firmen;;
470;6515;;;;;Caritasverband Brilon e.V.;Scharfenberger Straße 19;59929;Brilon;;;;info@caritas-brilon.de;Juhi_firmen;;
471;6514;;;;;Caritasverband Brilion -Sozialpädagogische Familienhilfe-;Scharfenberger Straße 19;59929;Brilon;;02961-989468;;spfh@caritas-brilon.de;Juhi_firmen;;
472;6516;;;;;Kinderheim Haus Sonnenblick;Regelland 10;59939;Olsberg;;;;;Juhi_firmen;;
473;6518;103515;;;;Haus Sonnenhof;Lingelscheid 18;59939;Olsberg;;029622904;;sonnenhof@sozialwerk-sauerland.de;Juhi_firmen;Haus Sonnenhof;
474;6519;;;;;Jugendwohngruppe Haus Sonnenhang;Fichtenweg 44;59955;Winterberg;;;;sonnenhang@sozialwerk-sauerland.de;Juhi_firmen;;
475;6522;101005;;;;Caritasverband Frankfurt e.V.;Alte Mainzer Gasse 10;60311;Frankfurt / Main;;061912094-17;;info@caritas-frankfurt.de;Juhi_firmen;Caritasverband Frankfurt e.V.;
476;6523;;;;;Diakonisches Werk f. Frankfurt/Main;Rechneigrabenstr. 10;60311;Frankfurt / Main;;;;info@communications-team.de;Juhi_firmen;;
477;6524;;;;;Jugendwohnheim Kolpinghaus Frankfurt e.V.;Lange Straße 26;60311;Frankfurt / Main;;;;jugendwohnen@kolpinghaus-frankfurt.de;Juhi_firmen;;
478;6525;;;;;Magistrat der Stadt Frankfurt -Sozialrathaus Bornheim;Berliner Str. 33-35;60311;Frankfurt / Main;;069212;;srh-bornheim@stadt-frankfurt.de;Juhi_firmen;;
479;6533;;;;;Waisenhaus-Stiftung des öffentlichen Rechts;Bleichstraße 12;60313;Frankfurt;;0692980030;;waisenhaus-frankfurt@t-online.de;Juhi_firmen;;
480;6536;;;;;Internat. Familienzentrum Familienhilfe u. Einzelberatung;Falkstraße 54a;60314;Frankfurt;;;;einzelbetreuung@ifz-ev.de;Juhi_firmen;;
481;6539;;;;;Heilpäd. Tagesgruppen Mittendrin;Eschenheimer Anlage 21;60318;Frankfurt;;0691501198;;;Juhi_firmen;;
482;6542;;;;;Der Paritätische Landesverband Hessen e. V.;Auf der Körnerwiese 5;60322;Frankfurt;;0695970191;;info@paritaet-hessen.org;Juhi_firmen;;
483;6553;;;;;Jugendwohnheim Kronenhof;Wilhelm-Leuschner-Straße 12;60329;Frankfurt;;;;werner.fuchs@kdg-kronenhof.de;Juhi_firmen;;
484;6551;;;;;Christlicher Dienst für das Gastgewerbe e. V.;Wilhelm-Leuschner-Straße 12;60329;Frankfurt;;069236369;;;Juhi_firmen;;
485;6552;;;;;Jugendberatung u. Jugendhilfe e.V.;Taunusstr. 33;60329;Frankfurt;;069743480;;jj-ev@jj-ev.de;Juhi_firmen;;
486;6558;;;;;Gemeinnützige Gesellschaft für den Betrieb v. Sozialeinrichtungen mbH;Borsigallee 19;60388;Frankfurt;;06942009240;;;Juhi_firmen;;
487;6560;;;;;Internationaler Bund;Burgstraße 106;60389;Frankfurt;;069945450;;info@internationaler-bund.de;Juhi_firmen;;
488;6561;;;;;Hufeland-Haus;Wilhelmshöher Straße 34;60389;Frankfurt;;;;zentrale@hufeland-haus.de;Juhi_firmen;;
489;6562;;;;;Magistrat der Stadt Frankfurt Jugnd- u. Sozialamt;Eschersheimer Landstr. 241-249;60431;Frankfurt am Main;;;;jugend-und-sozialamt@stadt-frankfurt.de;Juhi_firmen;;
490;6563;;;;;Sozialpädagogische Kleinsteinrichtung Weißer Stein;Am Weißen Stein 5;60431;Frankfurt;;069518865;;aekriegkstrasse@vae-ev.de;Juhi_firmen;;
491;1193;;Frau;Nancy;Munsche;;Am weißen Stein 5;60431;Frankfurt am Main;;;;;Juhi_personen;;
492;6564;104013;;;;Caritasverband Frankfurt e. V. Jugendwohnverbund St. Martin;Stefan-Zweig-Straße 1;60431;Frankfurt;;;;volker.kusnierz@caritas-frankfurt.de;Juhi_firmen;Jugendwohnverbund St. Martin;
493;6566;;;;;Fem e. V. Mädchenhaus Frankfurt;Eschersheimer Landstraße 534;60433;Frankfurt;;069531070;;zuflucht@fem-maedchenhaus.de;Juhi_firmen;;
494;6567;;;;;Jugenddorf Rhein-Main;Untermainkai 29;60329;Frankfurt;;;;;Juhi_firmen;;
495;6569;;;;;Sozialpädagogische Wohngruppe für Mädchen;Zehnmorgenstraße 29;60433;Frankfurt / Main;;069598083;;wohngrupppe@erv-fb1.de;Juhi_firmen;;
496;6570;;;;;Jugendhilfeverbund der AWO Rhein-Main-Taunus Frankfurt;Eckernförder Straße 65;60435;Frankfurt;;;;post@awo-hessensued.de;Juhi_firmen;;
497;6575;;;;;Verein zur Förderung soz.-päd. Modelle e.V.;Homburger Straße 12;60486;Frankfurt;;069709011;;;Juhi_firmen;;
498;6576;;;;;Diakonisches Werk in Hessen und Nassau e.V.;Ederstraße 12;60486;Frankfurt;;;;kontakt@dwhn.de;Juhi_firmen;;
499;6578;;;;;Internationales Familienzentrum e. V.;Falkstr. 54a;60487;Frankfurt / Main;;069-772031;;karsten.althaus@ifz-ev.de;Juhi_firmen;;
500;6580;;;;;Verein für Soziale Arbeit;Florastraße 27;60487;Frankfurt / Main;;;;kinderwerkstatt@t-online.de;Juhi_firmen;;
501;6581;;;;;Kinderheim Rödelheim;Kleemannstraße 3;60489;Frankfurt;;;;info@kinderheim-roedelheim.de;Juhi_firmen;;
502;6582;;;;;Therap. WG Buchenrode;Niederräder Landstr. 40-42 a;60528;Frankfurt/M.;;069-678093-51;;twb.buchenrode@waisenhaus-frankfurt.de;Juhi_firmen;;
503;6584;;;;;Kinder- und Jugendheim Buchenrode;Niederräder Landstraße 38;60528;Frankfurt;;;;kjh.buchenrode@waisenhaus-frankfurt.de;Juhi_firmen;;
504;6585;;;;;Eberhard-Borst-Lehrbaustelle e.V.;Am Poloplatz 4;60528;Frankfurt;;;;ebl@biw-bau.de;Juhi_firmen;;
505;6591;;;;;Klinikum der Johann-Wolfgang-Goethe-Universität;Theodor-Stern-Kai 7;60590;Frankfurt am Main;;;;info@kgu.de;Juhi_firmen;;
506;6596;;;;;Kinder- und Jugendpsychiatrie der Uniklinik Frankfurt;Theodor-Stern-Kai 7;60596;Frankfurt a.M. 70;;;;Sabine.Mueller@kgu.de;Juhi_firmen;;
507;6597;;;;;Kinder-/ Jugendheim und Tagesgruppe;Paul-Ehrlich-Straße 59;60596;Frankfurt;;;;kjh.paul-ehrlich-strasse@waisenhaus-frankfurt.de;Juhi_firmen;;
508;6598;;;;;Pädagogisches Bildungswerk;Laubestr. 28;60596;Frankfurt am Main;;069-7191519;;info@pbw-rheinmain.de;Juhi_firmen;;
509;3124;105503;Frau;Nadine;Zahradnik;;Pestalozzistraße 8;61118;Bad Vilbel;;;;wg-muehlheim@moewe-jonathan.de;Kita_personen;Möwe Jonathan e.V.;
510;727;105503;Frau;Irmgard;Gahlmann;;Pestalozzistraße 8;61118;Bad Vilbel;;;;irmgard-gahlmann@t-online.de;Juhi_personen;Möwe Jonathan e.V.;
511;6601;105503;;;;Möwe Jonathan e.V.;Pestalozzistraße 8;61118;Bad Vilbel;;0610180318-0;;info@moewe-jonathan.de;Juhi_firmen;Möwe Jonathan e.V.;
512;6604;;;;;Ev. Familienbildungsstätte FB Pflegeteam;Kaiserstr. 167;61169;Friedberg;;;;info@ev-familien-bildungsstaette.de;Juhi_firmen;;
513;6607;108020;;;;AWO Sozialpäd. Hilfen;Hauptstraße 68;61184;Okarben;;0603948611910;;okarben@awo-hessensued.de;Juhi_firmen;SPH AWO Perspektiven GmbH;
514;6608;;;;;AWO Jugendhilfe Wetterau;Am Schloß 16a;61184;Karben;;;;b-wagner@awo-hessensued.de;Juhi_firmen;;
515;6609;;;;;Berufsbildungswerk Südhessen;Am Heroldsrain 1;61184;Karben;;;;info@bbw-suedhessen.de;Juhi_firmen;;
516;6610;;;;;Brunnenhof Leidhecken e.V.;Bingenheimer Straße 8;61197;Florstadt;;060353020;;brunnenhof.leidhecken@t-online.de;Juhi_firmen;;
517;6611;103546;;;;Häuser für Kinder e.V. Büches;An der Nußbeunde 14;63654;Büdingen-Büches;;060429758525;;fg-nussbeunde@haeuser-fuer-kinder.de;Juhi_firmen;Häuser für Kinder e.V.;
518;6613;;;;;Diakoniewerk Elisabethhaus;Zanderstraße 19;61229;Bad Nauheim;;;;fuchs@elisabethhaus.de;Juhi_firmen;;
519;6614;;;;;Lichtblick -Verein f- Jugend- u. Sozialhilfe e. V.;Södeler Str. 11;61231;Bad Nauheim;;06031692888;;info@lichtblick-wetterau.de;Juhi_firmen;;
520;6617;;;;;Jugendhilfeverbund Elbtal (Hephata);Bahnhofstraße 25;61250;Usingen;;06081577423;;;Juhi_firmen;;
521;6618;;;;;Jugendwohngruppe Altweilnau;Weilnauer Straße 6;61276;Altweilnau;;06083-1814;;altweilnau@jugendhilfe-usinger-land.de;Juhi_firmen;;
522;6619;;;;;Ev. Kinder- und Jugendhilfe e. V.;Gluckensteinweg 11;61348;Bad Homburg;;0617296840;;info@kijuhi-badhomburg.de;Juhi_firmen;;
523;6620;;;;;Landgräfliche Stiftung;Bommersheimer Weg 59;61348;Bad Homburg;;06172302025;;info@landstift.de;Juhi_firmen;;
524;6621;;;;;Magistrat der Stadt Bad Homburg -Jugendamt-;Marienbader Platz 1;61348;Bad Homburg;;;;daniela.joel-bayatloo@bad-homburg.de;Juhi_firmen;;
525;6622;;;;;Kreisausschuß des Hochtaunuskreises -Jugendamt-;Ludwig-Erhard-Anlage 3;61352;Bad Homburg;;;;heinz.rahn@hochtaunuskreis.de;Juhi_firmen;;
526;6623;;;;;Stadtverwaltung Bad Homburg FB Soziales u. Jugend;Rathausplatz 1;61348;Bad Homburg v. d. Höhe;;;;daniela.joel-bayatloo@bad-homburg.de;Juhi_firmen;;
527;6624;;Frau;Daniela;Joel-Bayatloo;;Rathausplatz 1;61348;Bad Homburg;;;;;Juhi_personen;;
528;6628;;;;;Jugendhilfe Usinger Land e. V. Schmitten;Fichtenweg 6;61389;Schmitten-Niederreifenberg;;060829285376;;kinder@jugendhilfe-usinger-land.de;Juhi_firmen;;
529;6629;;;;;Verein für internationale Jugendarbeit e.V.;Lindenstraße 16;61440;Oberursel;;0617153025;;frankfurt@vij.de;Juhi_firmen;;
530;6630;;;;;Landesverband Pflege-, Adoptionseltern u. Erziehungsstellen in Hessen e.V.;Lindenstraße 2a;61440;Oberursel;;;;;Juhi_firmen;;
531;6632;;;;;Stadtmission Offenbach;Waldstraße 36;63065;Offenbach;;069885334;;info@stadtmission-offenbach.de;Juhi_firmen;;
532;6633;109047;;;;Magistrat der Stadt Offenbach;Berliner Straße 100;63065;Offenbach;;;;jugendamt@offenbach.de;Juhi_firmen;Magistsrat der Stadt Offenbach;
533;6634;;;;;Kolpinghaus e.V.;Luisenstraße 53;63067;Offenbach;;069816084;;info@kolping-dvmainz.de;Juhi_firmen;;
534;6635;;;;;Orden der Karmeliterinnen vom göttlichen Herzen Jesu;Oswald v. Nell-Breuning-Str. 3;63069;Offenbach;;0699842000;;;Juhi_firmen;;
535;6636;;;;;Heilpädagogische Initiativen e.V. Rodgau-Jügesheim;Dudenhöfer Straße 56;63110;Rodgau -Jügesheim;;0610661313;;tagesheim.rodgau@t-online.de;Juhi_firmen;;
536;6640;;;;;Jugendwohnen der AWO im Kreis Offenbach;Hauptstraße 1a;63303;Dreieich-Sprendlingen;;;;;Juhi_firmen;;
537;6641;;;;;AWO Kinder- und Familienhilfe Darmstadt, Flexible Hilfen Kreis Offenbach;Blumenstraße 10;63303;Dreieich;;06103967818;;o-huelsermann@awo-hessensued.de;Juhi_firmen;;
538;6642;100051;;;;Albert-Schweitzer-Kinderdorf Hessen e.V.;Am Pedro Jung Park 1;63450;Hanau;;;;;Juhi_firmen;Albert-Schweitzer-Kinderdorf Hessen e.V.;
539;6643;;;;;Kreisausschuß des Main-Kinzig-Kreises -Jugendamt-;Eugen-Kaiser-Straße 9;63450;Hanau;;061812920;;;Juhi_firmen;;
540;6645;;;;;Albert-Schweitzer-Kinderdorf Hanau;Am Pedro-Jung-Park 1;63450;Hanau;;;;info@ask-hanau.de;Juhi_firmen;;
541;6646;;;;;IB - Einrichtungsverbund Offenbach/Haunau;Marktstraße 3;63450;Hanau;;06181923080;;ib.hanau@t-online.de;Juhi_firmen;;
542;6649;;;;;Kreisausschuss des Main-Kinzig-Kreises -Hanau;Dörnigheimer Straße 1;63452;Hanau;;06181292-22811;;Jugendamt-HUW@mkk.de;Juhi_firmen;;
543;6650;;;;;Theresien Kinder- u. Jugendheim;Wildparkstraße 32;63456;Hauau;;;;;Juhi_firmen;;
544;6651;;;;;Main-Kinzig-Kreis -Jugendamt - Sozialer Dienst-;Am Rathaus 3;63526;Erlensee;;06183915197;;;Juhi_firmen;;
545;6652;;;;;CJD Tagesgruppe;Herzbachweg 65 65;63571;Gelnhausen;;;;tagesgruppe@cjd-schlosshausen.net;Juhi_firmen;;
546;13549;;;;;Schloss Hausen UMF Stationär;Häuserdickstraße 4;63628;Bad Soden-Salmünster;;;;Margret.Helmcke@cjd.de;Juhi_firmen;;
547;6653;;;;;CJD Rhein-Main - CJD Schloss Hausen;Häuserdickstraße 4;63628;Bad Soden - Salmünster;;;;;Juhi_firmen;;
548;6654;;;;;Sozialpädagogische Einrichtung A. u. P. Rothe GmbH;Neumühlstraße 11;63636;Brachttal;;060545839;;;Juhi_firmen;;
549;6655;;;;;Häuser für Kinder e.V. - Geschäftsstelle;Glockenstraße 7;63654;Büdingen-Aulendiebach;;06042953611;;info@haeuser-fuer-kinder.de;Juhi_firmen;;
550;6657;;;;;Kreisausschuss des Wetteraukreises;Berliner Straße 31;63654;Büdingen;;;;info@wetteraukreis.de;Juhi_firmen;;
551;6658;;;;;Jugendhilfe Nidda e.V.;Buchenweg 2;63667;Nidda;;060434391;;Jugendhilfe.nidda@t-online.de;Juhi_firmen;;
552;6659;;;;;Jugendclub Nidda;Kreuzweg 15;63667;Nidda - Wallernhausen;;;;;Juhi_firmen;;
553;6660;;;;;JUL - Wohngruppe Eichelsdorf;Brandesgasse 19;63667;Nidda - Eichelsdorf;;;;;Juhi_firmen;;
554;6662;;;;;Wohngruppe Nidda der Schottener Reha;Raun 71;63667;Nidda;;06043972433;;info@reha-schotten.de;Juhi_firmen;;
555;6663;;;;;Wohngruppe Nidda-Kohden des Schottener Reha;Bindesstraße 9;63667;Nidda-Kohden;;06043400878;;info@reha-schotten.de;Juhi_firmen;;
556;6664;;;;;Kreisausschuss des Wetteraukreises;Europaplatz;61169;Friedberg;;;;info@wetteraukreis.de;Juhi_firmen;;
557;13673;;;;;Schottener Soziale Dienste gGmbH;Vogelsbergstraße 212;63679;Schotten;;06044987760;;schmidtc@schotten-sozial.de;Juhi_firmen;;
558;6666;;;;;Schottener Reha u. Betreuungseinr. d. Jugend- u. Sozialhilfe GmbH;Vogelsbergstraße 212;63679;Schotten;;0604460090;;info@schotten-sozial.de;Juhi_firmen;;
559;6667;105516;;;;Menschenskinder e. V.;Vogelsbergstr. 164;63679;Schotten;;;;verwaltung@menschen-s-kinder.org;Juhi_firmen;Menschen´s Kinder e.V.;
560;6668;;;;;Kinder- und Jugendwohnhaus Menschenskinder e. V.;Zum Steinbügel 7;63679;Schotten;;;;jwh-michelbach@menschen-s-kinder.org;Juhi_firmen;;
561;6671;;;;;Menschen´s Kinder e. V. Tagesgruppe f. Jugendliche;Am Schießhorst 5;63679;Schotten;;06044-964640;;;Juhi_firmen;;
562;6672;;;;;Kolibri e. V. Verein f. Erziehungshilfe;In den Erlen 3;63679;Schotten-Wingertshausen;;060444876;;;Juhi_firmen;;
563;6673;;;;;Kinder- und Jugendhilfeeinrichtung;Jagdhausstraße 19;63679;Schotten-Rainrod;;06044980100;;info@reha-schotten.de;Juhi_firmen;;
564;13552;;;;;WG UMF Rainrod;Jagdhausstraße 19;63679;Schotten-Rainrod;;;;farman@schotten-sozial.de;Juhi_firmen;;
565;6674;;;;;Wohngruppe Schotten;Vogelsbergstraße 201;63679;Schotten;;06044987760;;info@reha-schotten.de;Juhi_firmen;;
566;6676;;;;;Häuser für Kinder e.V.;Berliner Str. 23;63683;Ortenberg;;;;info@haeuser-fuer-kinder.de;Juhi_firmen;;
567;6677;;;;;Menschen`s Kinder e. V., Kinder- u. Jugendhilfeeinrichtung e. V.;Karl-Birx-Straße 30;63697;Hirzenhain;;06045981810;;verwaltung@menschen-s-kinder.org;Juhi_firmen;;
568;6678;;;;;Menschen´s Kinder e. V., Kinder- u. Jugendhilfeeinrichutng e.V.;Wilhelm-Leuschner-Str. 2;63697;Hirzenhain;;06045952919;;menschen-s-kinder@t-online.de;Juhi_firmen;;
569;6679;;;;;Gemeinnützige Schottener Reha Einrichtungen GmbH;Vogelsbergstraße 212;63697;Schotten;;;;info@reha-schotten.de;Juhi_firmen;;
570;6680;;;;;Evangelische Kirche in Hessen und Nassau;Paulusplatz 1;64285;Darmstadt;;061514050;;info@ekhn.de;Juhi_firmen;;
571;6681;;;;;Hessischer Landesverein für Innere Mission;Roquetteweg 8;64285;Darmstadt;;0615140900;;geschaeftsfuehrung@mission-leben.de;Juhi_firmen;;
572;6683;;;;;Kinder- und Jugendheim Darmstadt;Viktoriastraße 51;64293;Darmstadt;;0615122083;;diegruppe@gmx.net;Juhi_firmen;;
573;6684;;;;;Mäander e. V.;Helfmannstraße 63a;64293;Darmstadt;;06151893103;;maeander-darmstadt@t-online.de;Juhi_firmen;;
574;6685;;;;;Ges. für diakonische Einrichtungen in Hessen und Nassau mbH;Europaplatz 5;64293;Darmstadt;;;;info@gfde.de;Juhi_firmen;;
575;6686;;;;;Landeswohlfahrtsverband Hessen -Landessozialamt-;Steubenplatz 16;64293;Darmstadt;;;;info@lwv-hessen.de;Juhi_firmen;;
576;6687;109021;;;;Sozialverwaltung Darmstadt -Städischer Sozialdienst-;Frankfurter Str. 71;64293;Darmstadt;;061511018033;;staedt. soziaIdienst@darmstadt. de;Juhi_firmen;Stadt Darmstadt;
577;6688;;;;;Magistrat der Stadt Darmstadt;Frankfurter Straße 71;64293;Darmstadt;;;;info@darmstadt.de;Juhi_firmen;;
578;6689;;;;;Magistrat der Stadt Darmstadt -Jugendamt-;Groß-Gerauer Weg 43160;64295;Darmstadt;;06151132169;;info@darmstadt.de;Juhi_firmen;;
579;6690;;;;;Kreisausschuß des Landkreises Jugendamt;Rheinstraße 65/67;64295;Darmstadt;;;;;Juhi_firmen;;
580;15068;;Herr;Andreas;Klumbies;;Am Pelz 8;64295;Darmstadt;;06151369081;;andreas.klumbies@awo-hs.org;Juhi_personen;;
581;6691;;;;;AWO Jugendhilfeverbund;Am Pelz 8;64295;Darmstadt;;06151369090;;;Juhi_firmen;;
582;15529;;Frau;Stefanie;Warmuth;;Rheinstraße 94-96;64295;Darmstadt;;06151271055;;warmuth.stefanie@bwhw.de;Juhi_personen;;
583;6692;;;;;Bildungswerk der Hessischen Wirtschaft e.V.;Rheinstraße 94-96;64295;Darmstadt;;06151271055;;darmstadt@bwhw.de;Juhi_firmen;;
584;15529;;Frau;Stefanie;Warmuth;;Rheinstraße 94-96;64295;Darmstadt;;06151271055;;warmuth.stefanie@bwhw.de;Kita_personen;;
585;6693;100053;;;;Arbeitskreis Jugendwohngruppe Darmstadt e.V.;Heidelberger Landstraße 272;64297;Darmstadt;;06151293354;;info@flexiblejugendhilfe.de;Juhi_firmen;Aspronio, Antonelle;
586;6693;111041;;;;Arbeitskreis Jugendwohngruppe Darmstadt e.V.;Heidelberger Landstraße 272;64297;Darmstadt;;06151293354;;info@flexiblejugendhilfe.de;Juhi_firmen;Wettermann, Silke;
587;6694;;;;;Advent Bildungs- und Erziehungswerk e.V.;Auf der Marienhöhe 32;64297;Darmstadt;;0615153910;;info@marienhoehe.de;Juhi_firmen;;
588;6695;;;;;Erziehungsberatungsstelle des Landkreises Darmstadt-Dieburg;Fabrikstr. 8;64319;Pfungstadt;;;;Erziehungsberatung-Pf@ladadi.de;Juhi_firmen;;
589;6696;;;;;AWO Jugendhilfeverbund Süd;Georg-Stomm-Str. 29;64331;Weiterstadt;;06150130990;;c-hausner@awo-hessensued.de;Juhi_firmen;;
590;6699;;;;;Die Orbishöhe gGmbH Wohngruppe Blaues Haus;Frankfurter Str. 2;64521;Groß-Gerau;;06152-910855;;wg-blaueshaus@die-orbishoehe.de;Juhi_firmen;;
591;6700;;;;;Kreisausschuß d.Landkreises Groß-Gerau Jugendamt;Wilhelm-Seipp-Str. 4;64521;Groß-Gerau;;;;info@KreisGG.de;Juhi_firmen;;
592;6701;;;;;Magistrat der Stadt Rüsselheim Jugendamt;Mainstr. 7;64528;Rüsselheim;;;;jugendamt@ruesselsheim.de;Juhi_firmen;;
593;6702;;;;;Verein Pädagogisch-Soziale Kinder- u. Jugendamt;Opelstr. 13;64546;Mörfelden-Walldorf;;;;;Juhi_firmen;;
594;6706;;;;;Kinder- und Jugendpsychiatrie;Postfach 1362;64550;Riedstadt;;;;sekretariatambulanzried@vitos-riedstadt.de;Juhi_firmen;;
595;6703;;;;;Zentrum für Soziale Psychiatrie Philippshospital;Postfach 1362;64550;Riedstadt;;061581830;;info@vitos-riedstadt.de;Juhi_firmen;;
596;6705;;;;;Zentrum für soziale Psychiatrie RIedstadt;;64560;Riedstadt;;;;info@vitos-riedstadt.de;Juhi_firmen;;
597;6707;;;;;Südkreisberatungsstelle Jugend- u. Familienberatung;Bahnhofstr. 11;64560;Riedstadt-Goddelau;;;;;Juhi_firmen;;
598;6709;;;;;Verein für Kinderhauserziehung e.V. Bensheim;Darmstädter Straße 269;64625;Bensheim - Auerbach;;06251789900;;l.mueller-wimmer@vfk-ggs.de;Juhi_firmen;;
599;6710;;;;;Erziehungsberatungsstelle für Eltern, Kinder u. Jugendliche;Am Wambolterhof 8;64625;Bensheim;;;;familie@beratungsstelle-bhm.de;Juhi_firmen;;
